date,height,yield
1970.416667,240.65,1
1967.75,240.63,
1969.166667,240.63,0.6
1968.916667,240.62,1
1969,240.58,1
1968.166667,240.55,
1968.416667,240.53,2
1969.416667,240.51,2
1967.333333,240.45,7
1967.833333,240.39,
1962.25,240.33,8
1968.583333,240.29,1.5
1967,240.27,1
1968.083333,240.27,4
1968.416667,240.03,
1952.333333,240,1
1962.166667,239.69,7.1
1969.666667,238.87,10
1966.916667,238.45,5
1968.5,238.09,1.5
1970.416667,236.22,0.8
1962.333333,233.48,9
1966.833333,232.55,
1965.166667,232.18,4
1963,231.95,11
1955.166667,230,1
1955.25,230,3
1957.666667,230,4.7
1957.75,230,1
1968.833333,228.95,7
1979.916667,228.72,0.8
1966.75,228.63,4
1963,227.84,
1962.916667,227.69,5.2
1967.666667,227.69,0.8
1963.166667,227.08,3
1963.333333,227.08,6
1964.166667,226.77,1.5
1962.666667,226.47,5
1966.333333,226.31,6
1963.5,226.16,4
1963.75,225.55,1
1966.333333,225.34,5
1963.666667,224.94,3
1965.166667,224.61,0.33
1970.416667,221.89,
1965,219.46,3.4
1965.75,219.46,6
1967.333333,219.29,0.8
1962,219.15,0.5
1962.333333,217.63,5
1962.416667,217.63,4.5
1962.75,216.69,5
1965.083333,215.13,7
1967,214.63,870
1966.083333,213.36,0.15
1972.916667,213.36,
1973.833333,213.36,
1978,212.84,0.8
1962.166667,212.14,2
1966.916667,211.09,7
1962.75,210.92,1
1965.083333,210.65,0.5
1963.416667,210.31,2
1965.666667,210.31,0.25
1974.333333,210.31,0.5
1956.5,210,1.7
1957.5,210,37
1957.666667,210,44
1970.25,209.14,1900
1969.666667,207.26,1
1981.583333,207.26,
1977.666667,206.96,
1962.666667,206.03,2.5
1964.5,205.16,6
1972.5,204.22,0.8
1964.333333,203.67,3
1973,201.17,
1968.666667,199.72,1
1976.416667,199.64,0.6
1972.666667,198.81,
1968.833333,198.46,0.25
1966.916667,198.15,2.3
1965.916667,198.12,0.5
1969.5,198.12,2
1973.5,198.12,0.005
1974,198.12,
1975.166667,198.12,0.35
1973.416667,197.89,15
1972.25,197.82,4
1967.083333,197.78,0.8
1966.416667,196.76,20
1985.833333,196.29,0.01
1963.5,195.56,3
1966.25,195.54,5
1966.666667,195.25,1
1974.25,195.07,
1968,195.01,0.2
1968.833333,194.92,1
1969.25,194.77,0.8
1970,193.55,2.5
1977.5,193.55,
1962.333333,193.24,3
1964.583333,193.03,
1962.416667,192.63,8
1969.75,192.02,0.8
1968.5,188.98,
1962.25,186.84,3.4
1975.5,186.56,
1962.5,185.93,2.9
1974.916667,183.97,
1976.916667,183.18,
1966.083333,183.09,
1973.166667,182.88,
1977.25,182.88,0.8
1963.333333,181.97,
1968.416667,181.76,1
1962.166667,181.36,3.07
1965.5,180.75,1.3
1974.333333,180.74,
1964.083333,180.44,2
1974.416667,180.44,
1965,180.32,1.3
1965.333333,180.29,0.6
1964.75,179.68,0.2
1967.25,179.55,0.6
1965.166667,179.22,5
1968.666667,178.46,0.35
1967.75,174.35,2.2
1965.666667,171.91,1
1962.333333,170.69,1.85
1965.5,169.47,0.5
1966.333333,167.64,1.4
1962.416667,166.73,
1962.916667,166.42,
1964.666667,166.04,4.4
1963.916667,165.81,2
1967.333333,165.35,
1964,164.59,5.3
1969.916667,164.59,1.7
1962.5,164.25,3
1965.583333,163.68,
1963.166667,163.37,
1964.416667,163.37,8
1968.333333,160.89,1300
1953.416667,160,15
1969.75,158.24,800
1946.5,158,21
1962.75,157.28,2
1962.833333,154.53,7
1966.583333,153.04,1.2
1965,151.79,2.7
1962.333333,150.88,1
1962.583333,150.27,3.5
1963.75,150.27,0.08
1964.166667,150.17,
1965,150.14,
1962.166667,150.08,1.9
1955.25,150,43
1955.25,150,8
1955.25,150,14
1955.416667,150,29
1955.416667,150,28
1957.416667,150,12
1957.5,150,0.0005
1957.5,150,10
1957.583333,150,17
1957.583333,150,10
1957.583333,150,9.7
1957.666667,150,17
1957.75,150,11
1957.75,150,0.197
1957.75,150,11
1957.75,150,19
1957.833333,150,8
1958.75,150,0.083
1958.833333,150,0.037
1958.833333,150,0.188
1971.75,149.86,0.5
1964.333333,149.77,2
1964.833333,149.66,
1974.416667,149.35,
1973.416667,149.25,
1962.5,149.05,4
1963.833333,149.05,0.38
1974,148.43,
1968.833333,148.31,1
1964.416667,148.19,
1972.333333,148.11,
1965.25,143.52,0.2
1964.25,143.26,0.2
1965.166667,142.34,
1965.333333,140.74,1
1962.25,136.67,2
1965.583333,135.03,
1963.5,134.57,3
1972.5,134.48,0.6
1970,134.13,
1963.25,130.76,
1969,130.16,
1966.333333,126.14,
1969.416667,124.18,
1958.833333,124.05,0.072
1972.083333,120.24,
1955.333333,120,22
1971.5,119.94,
1968.25,119.79,
1964.333333,118.84,
1967.416667,118.65,
1969.833333,118.55,
1969.833333,118.43,
1970.833333,118.38,
1967.25,117.73,
1968.833333,117.66,
1969,111.22,30
1965.5,110.95,
1958.833333,110,0.077
1961.833333,100.64,
1970.416667,100.58,2.5
1951.333333,91,81
1951.333333,91,47
1952.416667,90,12
1952.416667,90,11
1952.5,90,15
1952.5,90,14
1953.25,90,16
1953.25,90,24
1953.25,90,0.2
1953.333333,90,23
1953.333333,90,43
1953.416667,90,32
1955.166667,90,2
1955.25,90,7
1955.25,90,4
1955.333333,90,2
1956.416667,90,14.9
1956.5,90,1.49
1956.583333,90,360
1957.5,90,0.14
1973.5,66.52,250
1951.416667,62,225
1951.416667,62,45.5
1948.333333,60,37
1948.333333,60,49
1948.416667,60,18
1956.416667,60,0.19
1956.5,60,8
